id,name,host_id,host_name,neighbourhood_cleansed,room_type,price,minimum_nights,number_of_reviews
1,Beach House,1761,Diana,Neighbourhood C,Shared room,82,2,45
2,City Conda,1189,Elon,Neighbourhood B,Private room,77,12,136
3,Shared Dorm,1710,Elon,Neighbourhood C,Entire home/apt,492,29,262
4,City Conda,1483,Alice,Neighbourhood B,Hotel room,40,9,62
5,City Conda,1732,Alice,Neighbourhood C,Entire home/apt,287,6,43
6,Luxury Villa,1535,Alice,Neighbourhood D,Shared room,372,12,250
7,Shared Dorm,1755,Bob,Neighbourhood B,Entire home/apt,309,18,206
8,Shared Dorm,1422,Diana,Neighbourhood C,Hotel room,239,25,58
9,Shared Dorm,1835,Bob,Neighbourhood A,Entire home/apt,353,5,205
10,City Conda,1639,Diana,Neighbourhood B,Shared room,364,22,83
11,Beach House,1604,Elon,Neighbourhood B,Hotel room,41,17,12
12,Shared Dorm,1811,Bob,Neighbourhood C,Entire home/apt,472,16,236
13,City Conda,1132,Bob,Neighbourhood D,Entire home/apt,280,12,157
14,Luxury Villa,1054,Bob,Neighbourhood D,Hotel room,352,29,103
15,Beach House,1988,Charlie,Neighbourhood C,Shared room,189,2,42
16,Luxury Villa,1509,Diana,Neighbourhood C,Hotel room,65,16,178
17,Beach House,1669,Diana,Neighbourhood A,Shared room,178,1,263
18,City Conda,1540,Bob,Neighbourhood C,Entire home/apt,397,20,242
19,Cozy Apt,1409,Charlie,Neighbourhood B,Hotel room,227,2,36
20,Beach House,1210,Bob,Neighbourhood C,Shared room,479,13,249
21,Luxury Villa,1665,Diana,Neighbourhood A,Hotel room,407,16,119
22,City Conda,1292,Elon,Neighbourhood C,Entire home/apt,275,1,191
23,Beach House,1986,Charlie,Neighbourhood C,Hotel room,422,19,294
24,Cozy Apt,1733,Charlie,Neighbourhood B,Entire home/apt,233,4,61
25,Cozy Apt,1114,Bob,Neighbourhood D,Entire home/apt,73,20,209
26,Shared Dorm,1948,Elon,Neighbourhood C,Entire home/apt,344,3,294
27,Shared Dorm,1669,Diana,Neighbourhood A,Shared room,437,2,51
28,Luxury Villa,1258,Alice,Neighbourhood C,Shared room,412,12,209
29,Beach House,1762,Diana,Neighbourhood C,Private room,348,24,278
30,Beach House,1121,Diana,Neighbourhood B,Shared room,235,26,201
31,Shared Dorm,1298,Elon,Neighbourhood D,Private room,270,13,138
32,Beach House,1774,Charlie,Neighbourhood D,Hotel room,70,27,18
33,Beach House,1380,Diana,Neighbourhood D,Entire home/apt,105,18,94
34,Cozy Apt,1560,Charlie,Neighbourhood C,Shared room,231,5,129
35,Shared Dorm,1888,Elon,Neighbourhood B,Entire home/apt,392,23,104
36,City Conda,1840,Elon,Neighbourhood B,Private room,415,25,196
37,Shared Dorm,1500,Bob,Neighbourhood C,Shared room,124,12,259
38,City Conda,1296,Alice,Neighbourhood B,Shared room,57,19,38
39,Cozy Apt,1361,Elon,Neighbourhood D,Shared room,173,1,130
40,Luxury Villa,1588,Elon,Neighbourhood B,Shared room,88,9,153
41,Beach House,1462,Charlie,Neighbourhood C,Entire home/apt,158,1,40
42,Cozy Apt,1437,Elon,Neighbourhood C,Shared room,371,24,121
43,Beach House,1126,Diana,Neighbourhood A,Private room,30,18,243
44,Luxury Villa,1196,Bob,Neighbourhood A,Shared room,316,23,244
45,Luxury Villa,1220,Bob,Neighbourhood B,Private room,51,28,143
46,Cozy Apt,1994,Diana,Neighbourhood B,Private room,255,3,185
47,Luxury Villa,1090,Elon,Neighbourhood C,Entire home/apt,233,6,34
48,City Conda,1410,Alice,Neighbourhood A,Shared room,216,22,210
49,Luxury Villa,1007,Elon,Neighbourhood A,Private room,404,4,32
50,Beach House,1543,Bob,Neighbourhood D,Shared room,313,24,158
51,Beach House,1467,Alice,Neighbourhood D,Entire home/apt,401,12,191
52,Beach House,1319,Charlie,Neighbourhood C,Entire home/apt,361,12,162
53,Beach House,1393,Charlie,Neighbourhood C,Shared room,56,5,251
54,City Conda,1268,Elon,Neighbourhood C,Private room,372,23,38
55,Shared Dorm,1190,Elon,Neighbourhood C,Hotel room,158,29,130
56,Cozy Apt,1860,Alice,Neighbourhood A,Hotel room,409,21,95
57,Beach House,1674,Alice,Neighbourhood C,Entire home/apt,392,13,140
58,Luxury Villa,1060,Elon,Neighbourhood C,Private room,415,12,269
59,Beach House,1437,Bob,Neighbourhood A,Hotel room,124,4,168
60,Luxury Villa,1263,Charlie,Neighbourhood D,Private room,95,6,274
61,Luxury Villa,1796,Alice,Neighbourhood C,Shared room,206,19,98
62,Beach House,1094,Bob,Neighbourhood D,Entire home/apt,304,6,60
63,City Conda,1552,Elon,Neighbourhood A,Shared room,185,6,216
64,Luxury Villa,1925,Diana,Neighbourhood D,Shared room,483,11,76
65,Luxury Villa,1469,Alice,Neighbourhood A,Shared room,452,27,207
66,Beach House,1660,Diana,Neighbourhood C,Private room,48,22,44
67,Luxury Villa,1715,Bob,Neighbourhood D,Hotel room,412,14,201
68,Luxury Villa,1778,Charlie,Neighbourhood C,Shared room,401,27,209
69,Beach House,1513,Bob,Neighbourhood B,Entire home/apt,349,3,134
70,Beach House,1689,Charlie,Neighbourhood B,Private room,87,29,21
71,Cozy Apt,1936,Bob,Neighbourhood D,Hotel room,302,8,59
72,City Conda,1193,Alice,Neighbourhood A,Shared room,227,4,297
73,City Conda,1481,Alice,Neighbourhood D,Entire home/apt,108,27,58
74,Luxury Villa,1898,Diana,Neighbourhood A,Shared room,499,16,230
75,City Conda,1335,Bob,Neighbourhood B,Hotel room,70,18,284
76,Luxury Villa,1434,Bob,Neighbourhood A,Hotel room,255,7,182
77,Cozy Apt,1195,Diana,Neighbourhood B,Shared room,290,11,100
78,Beach House,1854,Elon,Neighbourhood D,Shared room,274,8,113
79,Beach House,1248,Bob,Neighbourhood C,Private room,52,27,41
80,Beach House,1497,Bob,Neighbourhood C,Hotel room,226,20,28
81,City Conda,1211,Bob,Neighbourhood C,Hotel room,265,6,276
82,Cozy Apt,1664,Elon,Neighbourhood A,Shared room,155,24,96
83,City Conda,1669,Alice,Neighbourhood C,Entire home/apt,295,16,190
84,City Conda,1465,Diana,Neighbourhood A,Shared room,353,5,37
85,Cozy Apt,1873,Elon,Neighbourhood C,Shared room,169,25,206
86,Cozy Apt,1650,Charlie,Neighbourhood A,Hotel room,396,6,193
87,Cozy Apt,1220,Charlie,Neighbourhood A,Private room,423,6,139
88,Cozy Apt,1272,Elon,Neighbourhood B,Shared room,345,28,288
89,Beach House,1153,Elon,Neighbourhood B,Entire home/apt,156,29,256
90,Shared Dorm,1248,Alice,Neighbourhood D,Entire home/apt,315,2,224
91,Shared Dorm,1278,Charlie,Neighbourhood B,Shared room,143,7,27
92,Cozy Apt,1439,Diana,Neighbourhood A,Entire home/apt,437,9,189
93,Shared Dorm,1947,Bob,Neighbourhood B,Entire home/apt,354,15,244
94,Shared Dorm,1815,Bob,Neighbourhood B,Shared room,42,21,48
95,Cozy Apt,1275,Alice,Neighbourhood B,Entire home/apt,257,14,203
